x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ajay Makan,8609,"105,415",51.9%,Indian National Congress, AC View
2,2,Jagmohan,8609,"92,631",45.6%,Bharatiya Janta Party, AC View
3,3,Vikram,74,"1,983",1.0%,Bahujan Samaj Party, AC View
4,4,Sanjay Kumar Yadav,74,680,0.3%,Independent, AC View
5,5,Javed Abidi,74,397,0.2%,Independent, AC View
6,6,Ramesh Kumar,74,272,0.1%,Independent, AC View
7,7,Ved Prakash,74,222,0.1%,Independent, AC View
8,8,B. S. Yadav,74,177,0.1%,J & K National Panthers Party, AC View
9,9,Ram Kumar Azad,74,146,0.1%,Independent, AC View
10,10,Maharaj Kumar Advocate,74,125,0.1%,Desh Bhakt Party, AC View
11,10,Dr. Nina Dey Gupta,74,125,0.1%,Independent, AC View
12,12,Vimla Joshi,74,107,0.1%,Akhil Bharat Hindu Mahasabha, AC View
13,13,Ramesh Chand,74,105,0.1%,Independent, AC View
14,14,Mohd. Islam,74,93,0.0%,Independent, AC View
15,15,Umesh Gulati,74,79,0.0%,Independent, AC View
