x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ravi Prakash Verma,102400,"224,602",31.8%,Samajwadi Party, AC View
2,2,Daud Ahmad,102400,"212,842",30.1%,Bahujan Samaj Party, AC View
3,3,Vinay Katiyar,18200,"195,849",27.7%,Bharatiya Janta Party, AC View
4,4,Rai Singh,200,"19,747",2.8%,Indian National Congress, AC View
5,5,Vijay Tiwari,200,"12,421",1.8%,Shiv Sena, AC View
6,6,Harish Kumar Gupta,200,"9,456",1.3%,Independent, AC View
7,7,Ramdarash,200,"6,739",1.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Om Prakash Verma,200,"5,670",0.8%,Independent, AC View
9,9,Sukhrajiya Devi (ALIAS) SUKHRANI,200,"5,060",0.7%,Independent, AC View
10,10,Hansram Patel,200,"3,227",0.5%,Apna Dal, AC View
11,11,Naresh Singh Bhadoriya,200,"2,323",0.3%,Independent, AC View
12,12,Sanjay Pasi,200,"2,307",0.3%,Rashtriya Swabhimaan Party, AC View
13,13,Jitendra,200,"1,904",0.3%,Independent, AC View
14,14,Shiv Prasad Verma,200,"1,811",0.3%,Independent, AC View
15,15,Kesari,200,"1,390",0.2%,Independent, AC View
16,16,Jagdesh Jaisawal,200,"1,370",0.2%,Independent, AC View
