x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sharanjit Singh Dhillon,29200,"329,234",37.8%,Shiromani Akali Dal, AC View
2,2,Munish Tewari,29200,"299,694",34.5%,Indian National Congress, AC View
3,3,Balwant Singh Ramoowalia,1200,"187,787",21.6%,Lok Bhalai Party, AC View
4,4,Rabinder Singh Sohil,200,"19,595",2.3%,Bahujan Samaj Party, AC View
5,5,Rashpal Singh Gill,200,"6,131",0.7%,Independent, AC View
6,6,Varinder Kumar Koffi,200,"5,762",0.7%,Independent, AC View
7,7,Mahinder Lal,200,"4,745",0.5%,Independent, AC View
8,8,Boby,200,"3,383",0.4%,Independent, AC View
9,9,Sadhon Singh,200,"2,368",0.3%,Samajwadi Party, AC View
10,10,Dr. Janardan Prasad Singh,200,"1,928",0.2%,Independent, AC View
11,11,Ravinder Kumar Jassi,200,"1,833",0.2%,J & K National Panthers Party, AC View
12,12,Daljinder Singh Jhammat,200,"1,642",0.2%,Independent, AC View
13,13,Balwant Singh,200,"1,639",0.2%,Independent, AC View
14,14,Dr. Satnam Singh,200,"1,181",0.1%,Independent, AC View
15,15,Master Manjeet Singh Walia,200,"1,123",0.1%,Bharatiya Gaon Taj Dal, AC View
16,16,Karnail Singh Rathor,200,783,0.1%,Independent, AC View
17,17,Jasdev Singh,200,610,0.1%,Independent, AC View
18,18,Abdul Shakoor Thind,200,489,0.1%,Independent, AC View
