x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandrapal Singh Yadav,28200,"238,782",29.1%,Samajwadi Party, AC View
2,2,Babu Lal Kushwaha,28200,"212,483",25.9%,Bahujan Samaj Party, AC View
3,3,Rajendra Agnihotri,18600,"206,591",25.2%,Bharatiya Janta Party, AC View
4,4,Rajendra Pratap Urf Raja Bundela,1000,"104,584",12.8%,Indian National Congress, AC View
5,5,Heera Singh,200,"15,065",1.8%,Independent, AC View
6,6,Haridas,200,"10,033",1.2%,Independent, AC View
7,7,Arvind Kumar Patel,200,"8,505",1.0%,Apna Dal, AC View
8,8,Sunu Urf Sunwa,200,"7,578",0.9%,Independent, AC View
9,9,Vinod Kumar,200,"3,730",0.5%,Independent, AC View
10,10,Chaman Lal Babra,200,"2,352",0.3%,Independent, AC View
11,11,Ramji,200,"1,998",0.2%,Independent, AC View
12,12,Prem Prakash,200,"1,909",0.2%,Samata Samaj Party, AC View
13,13,Matu Kushwaha,200,"1,860",0.2%,Rashtriya Samanta Dal, AC View
14,14,Kaloo Ram,200,"1,489",0.2%,Independent, AC View
15,15,Ashok,200,"1,395",0.2%,Independent, AC View
16,16,Arvind Kumar,200,"1,292",0.2%,Independent, AC View
