x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramadass. M.,1652,"241,653",49.9%,Pattali Makkal Katchi, AC View
2,2,Lalitha Kumaramangalam,1652,"172,472",35.6%,Bharatiya Janta Party, AC View
3,3,K. Nambiyar,119,"27,546",5.7%,Janata Dal (United), AC View
4,4,P. R. N. Thirumurugan,95,"10,930",2.3%,Independent, AC View
5,5,Z. M. Taher,81,"5,175",1.1%,Independent, AC View
6,6,Thanga Devadas,79,"4,085",0.8%,Independent, AC View
7,7,S. Syad Faruk,79,"3,172",0.7%,Independent, AC View
8,8,M. Rangadas,79,"2,891",0.6%,Independent, AC View
9,9,Thanga Kalaimaran,79,"2,665",0.6%,Bahujan Samaj Party, AC View
10,10,P. Anburaj,79,"1,684",0.3%,Independent, AC View
11,11,S. Ponnurangam,79,"1,601",0.3%,Jharkhand Party, AC View
12,12,V. Ramamurthy,79,"1,571",0.3%,Independent, AC View
13,13,S. Balasubramanian,79,"1,359",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
14,14,G. Sundaramoorthy,79,"1,328",0.3%,Rashtriya Janata Dal, AC View
15,15,N. Sabith,79,"1,158",0.2%,Independent, AC View
16,16,N. Senthilmurugan,79,977,0.2%,Independent, AC View
17,17,E. Kuppan,79,906,0.2%,Independent, AC View
18,18,J. Ramadass,79,894,0.2%,Independent, AC View
19,19,S. Elangovan,79,673,0.1%,Independent, AC View
20,20,G. Krishnaraj,79,556,0.1%,Independent, AC View
21,21,R. Natarajan,79,520,0.1%,Independent, AC View
