x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Inderjit Singh,600,"358,714",42.3%,Indian National Congress, AC View
2,2,Dr. Sudha Yadav,600,"148,373",17.5%,Bharatiya Janta Party, AC View
3,3,Raghu Yadav,400,"121,062",14.3%,Samajwadi Party, AC View
4,4,Swami Dharam Dev,400,"115,154",13.6%,Indian National Lok Dal, AC View
5,5,Rohtash,200,"56,181",6.6%,Bahujan Samaj Party, AC View
6,6,Anil Rao,200,"30,134",3.5%,Haryana Vikas Party, AC View
7,7,Satbir Kundu,200,"7,207",0.8%,Independent, AC View
8,8,Comrade Rajender Singh Advocate,200,"3,286",0.4%,Independent, AC View
9,9,Ajay Kumar,200,"2,939",0.3%,Rashtriya Vikas Party, AC View
10,10,Ram Kishan,200,"1,683",0.2%,Bharatiya Republican Paksha, AC View
11,11,Naresh,200,"1,495",0.2%,Independent, AC View
12,12,Bhagat Bal Kishan Saini,200,"1,439",0.2%,Independent, AC View
13,13,Alakh Mohan Mathur,200,908,0.1%,Independent, AC View
14,14,Ved Prakash,200,730,0.1%,Niswarth Sewa Party, AC View
