x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Furkan Ansari,33600,"373,138",44.9%,Indian National Congress, AC View
2,2,Pradeep Yadav,33600,"346,384",41.7%,Bharatiya Janta Party, AC View
3,3,Suraj Mandal,200,"43,837",5.3%,Janata Dal (United), AC View
4,4,Jai Prakash Yadav,200,"22,875",2.8%,Bahujan Samaj Party, AC View
5,5,Shamim Akhtar,200,"11,061",1.3%,Independent, AC View
6,6,Niranjan Yadav,200,"5,647",0.7%,Independent, AC View
7,7,Noor Hasan,200,"5,641",0.7%,Samata Party, AC View
8,8,Amrendra Kumar Pandit,200,"5,633",0.7%,Independent, AC View
9,9,Radheshyam Verma,200,"5,159",0.6%,Lok Jan Shakti Party, AC View
10,10,Pradip Kumar Mishra,200,"4,645",0.6%,Independent, AC View
11,11,Shashi Saurabh,200,"3,705",0.4%,Apna Dal, AC View
12,12,Lekha Nand Jha,200,"3,631",0.4%,Samajwadi Party, AC View
