x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,P. Karunakaran,2281,"437,284",48.7%,Communist Party Of India (MARXIST), AC View
2,2,N A Mohammed,2281,"329,028",36.6%,Indian National Congress, AC View
3,3,Adv V Balakrishna Shetty,192,"110,328",12.3%,Bharatiya Janta Party, AC View
4,4,P Sivanandan,79,"7,726",0.9%,Independent, AC View
5,5,Sukumaran,79,"5,947",0.7%,Bahujan Samaj Party, AC View
6,6,M A Mohammed,79,"4,652",0.5%,Independent, AC View
7,7,Joseph Kaithamattam,79,"2,112",0.2%,Independent, AC View
8,8,Ismail Andruman,79,"1,592",0.2%,Independent, AC View
9,9,Abbas Muthalappara,79,"1,531",0.2%,Independent, AC View
10,10,Ashraf Mangad,79,"1,403",0.2%,Independent, AC View
