x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ahir  Vikrambhai Arjanbhai Madam,149800,"204,468",47.2%,Indian National Congress, AC View
2,2,Koradia Chandreshbhai Valjibhai (CHANDRESH PATEL),149800,"198,875",45.9%,Bharatiya Janta Party, AC View
3,3,Higla Kalabhai Anandbhai,200,"11,808",2.7%,Independent, AC View
4,4,Kungda Jusab Sidik,200,"5,306",1.2%,Bahujan Samaj Party, AC View
5,5,Vyas Rajesh Shivshanker,200,"3,774",0.9%,Independent, AC View
6,6,Bhokal Kasam Abubhai,200,"3,739",0.9%,Independent, AC View
7,7,Chavda Devayat Jivabhai,200,"1,725",0.4%,Independent, AC View
8,8,Parmar Narshibhai Bhojabhai,200,"1,306",0.3%,Independent, AC View
9,9,Trivedi Piyush Navnitrai,200,"1,235",0.3%,Independent, AC View
10,10,Jogel Manilal Devjibhai,200,"1,205",0.3%,Independent, AC View
