x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Navjot Singh Sidhu,1394,"394,223",55.4%,Bharatiya Janta Party, AC View
2,2,Raghunandan Lal Bhatia,1394,"284,691",40.0%,Indian National Congress, AC View
3,3,Ram Sharan Paul,75,"15,796",2.2%,Bahujan Samaj Party, AC View
4,4,Ramesh Talwar,67,"5,695",0.8%,Independent, AC View
5,5,Rehmat Masih,67,"3,252",0.5%,Independent, AC View
6,6,Surinder Kumar Khosla,67,"2,425",0.3%,Independent, AC View
7,7,Baldev Singh Rathaur,67,"1,674",0.2%,Independent, AC View
8,8,Sat Pal Dogra,67,"1,301",0.2%,Independent, AC View
9,9,Sanjiv Kumar Prashar Advocate,67,990,0.1%,Independent, AC View
10,10,Harbans Lal Mahajan,67,982,0.1%,Samajwadi Party, AC View
11,11,Geeta,67,791,0.1%,Bharatiya Gaon Taj Dal, AC View
