x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Manvendra Singh,7200,"187,400",31.1%,Indian National Congress, AC View
2,2,Choudhary Laxminarayan,7200,"149,268",24.8%,Bahujan Samaj Party, AC View
3,3,Dr. Gyanvati Singh,5600,"144,366",24.0%,Rashtriya Lok Dal, AC View
4,4,Choudhary Tejveer Singh,1400,"103,007",17.1%,Bharatiya Janta Party, AC View
5,5,Harpal Singh,200,"4,321",0.7%,Independent, AC View
6,6,Om Prakash,200,"2,414",0.4%,Labour Party (Secular), AC View
7,7,Rajkumar,200,"2,294",0.4%,Nationalist Congress Party, AC View
8,8,Satish Chandra,200,"2,226",0.4%,Independent, AC View
9,9,Bijendra Singh,200,"1,659",0.3%,Independent, AC View
10,10,Kunvar Singh,200,"1,179",0.2%,Independent, AC View
11,11,Narayan Singh,200,"1,066",0.2%,Independent, AC View
12,12,Balbir Singh,200,874,0.1%,Independent, AC View
13,13,Vidhya Devi,200,647,0.1%,Independent, AC View
14,14,Phakkar Baba,200,577,0.1%,Independent, AC View
15,15,Devki Nandan,200,529,0.1%,Independent, AC View
16,16,Ajay Singh,200,360,0.1%,Independent, AC View
