x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kirip Chaliha,6745,"353,250",40.1%,Indian National Congress, AC View
2,2,Bhupen Hazarika,6745,"292,099",33.1%,Bharatiya Janta Party, AC View
3,3,Bhrigu Kumar Phukan,724,"180,856",20.5%,Asom Gana Parisad, AC View
4,4,Deven Dutta,113,"14,933",1.7%,Trinamool Gana Parishad, AC View
5,5,Rajat Chandra Rabha,113,"14,489",1.6%,Independent, AC View
6,6,Sumitra Das,113,"11,240",1.3%,Independent, AC View
7,7,Kazi Nekib Ahmed,100,"3,089",0.4%,Independent, AC View
8,8,Dhwajen Brahma,100,"2,586",0.3%,Independent, AC View
9,9,Bhabani Boro,100,"2,554",0.3%,Independent, AC View
10,10,Bhubaneswar Barman,100,"2,466",0.3%,Samajwadi Party, AC View
11,11,Nipon Dholua,100,"2,299",0.3%,Samata Party, AC View
12,12,Umesh Chandra Das,100,"1,914",0.2%,Independent, AC View
