x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Brij Bhushan Sharan Singh,5800,"270,941",38.8%,Bharatiya Janta Party, AC View
2,2,Rizwan Zaheer Alias Rijju Bhaya,5800,"218,328",31.3%,Bahujan Samaj Party, AC View
3,3,Dr. Mohd Umar,1400,"165,090",23.6%,Samajwadi Party, AC View
4,4,Sri Ram,200,"9,363",1.3%,Independent, AC View
5,5,Ekbal Siddiqui,200,"9,286",1.3%,Indian National Congress, AC View
6,6,Ameer Haider Khan,200,"4,874",0.7%,All India Minorities Front, AC View
7,7,Mohd. Shajid,200,"3,838",0.5%,Independent, AC View
8,8,Pujaram Sonker Advocate,200,"3,427",0.5%,Apna Dal, AC View
9,9,Holi Ram,200,"3,127",0.4%,Independent, AC View
10,10,Mohd. Raees,200,"2,468",0.4%,Independent, AC View
11,11,Mohd. Ahsan,200,"2,352",0.3%,Independent, AC View
12,12,Jafer Ali,200,"1,852",0.3%,Independent, AC View
13,13,Arjun,200,"1,587",0.2%,Independent, AC View
14,14,Pooran,200,"1,573",0.2%,Independent, AC View
