x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Giridhari Yadav,403721,"339,880",47.6%,Rashtriya Janata Dal, AC View
2,2,Digvijay Singh,403721,"335,211",47.0%,Janata Dal (United), AC View
3,3,Rajendra Pandit Netajee,91,"14,506",2.0%,Bahujan Samaj Party, AC View
4,4,Mithan Yadav,91,"8,929",1.3%,Independent, AC View
5,5,Fani Lal Sah,80,"3,447",0.5%,Independent, AC View
6,6,Mahboob Alam Ansari,80,"3,143",0.4%,Independent, AC View
7,7,Ranvir Yadav,80,"3,081",0.4%,Samajwadi Party, AC View
8,8,Umakant Yadav,80,"2,016",0.3%,Independent, AC View
9,9,Pravin Kumar Jha,80,"1,332",0.2%,Independent, AC View
10,10,Uday Kumar Singh,80,"1,196",0.2%,Independent, AC View
11,11,Amp Yadav,80,"1,147",0.2%,Independent, AC View
