x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Daroga Prasad Saroj,10013,"283,473",37.1%,Samajwadi Party, AC View
2,2,Dr. Baliram,10013,"240,742",31.5%,Bahujan Samaj Party, AC View
3,3,Kalpnath,1075,"162,466",21.3%,Bharatiya Janta Party, AC View
4,4,Gopal Sharan Kannaujia,165,"31,064",4.1%,Suheldev Bhartiya Samaj Party, AC View
5,5,Deepchandra Visharad,132,"15,331",2.0%,Lok Jan Shakti Party, AC View
6,6,Sewaram,122,"10,642",1.4%,Independent, AC View
7,7,Chhoteylal Nirbhaya,122,"9,495",1.2%,National Loktantrik Party, AC View
8,8,Visarjan,111,"3,952",0.5%,Independent, AC View
9,9,Lalbihari Mritak,111,"3,400",0.4%,Independent, AC View
10,10,Dhruv Kant,111,"3,053",0.4%,Rashtriya Swabhimaan Party, AC View
