x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kishan Lal Diler,14400,"175,049",35.6%,Bharatiya Janta Party, AC View
2,2,Ram Vir Singh Bhaiyaji,14400,"152,212",30.9%,Bahujan Samaj Party, AC View
3,3,Vimla Pal,2200,"118,826",24.1%,Samajwadi Party, AC View
4,4,Mukesh Kumar,400,"32,234",6.6%,Indian National Congress, AC View
5,5,Bhagwan Sahay Dhangar,200,"5,979",1.2%,Indian National Lok Dal, AC View
6,6,Valwant Singh,200,"3,954",0.8%,Independent, AC View
7,7,Rajvir Singh,200,"1,223",0.2%,Independent, AC View
8,8,Lakhan Singh,200,744,0.2%,Independent, AC View
9,9,Phool Singh,200,693,0.1%,Independent, AC View
10,10,Teke Chandra Rao,200,659,0.1%,Independent, AC View
11,11,Rakesh Kumar Vimal,200,562,0.1%,Independent, AC View
