x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kamal Nath,4723,"308,563",41.0%,Indian National Congress, AC View
2,2,Prahlad Singh Patel,4723,"244,855",32.5%,Bharatiya Janta Party, AC View
3,3,Man Mohan Shah Batti,287,"85,330",11.3%,Gondvana Gantantra Party, AC View
4,4,Dhanraj,140,"23,403",3.1%,Independent, AC View
5,5,Sunil Yuvnati,115,"9,234",1.2%,Independent, AC View
6,6,Naresh Ivanati,115,"8,812",1.2%,Independent, AC View
7,7,Sachin Sadshiv,115,"8,268",1.1%,Independent, AC View
8,8,Dalchand Pal,115,"7,117",0.9%,Bahujan Samaj Party, AC View
9,9,Dinesh Sahu,115,"7,088",0.9%,Independent, AC View
10,10,Jaydeep Alias Deepa Yadav,103,"6,422",0.9%,Samajwadi Party, AC View
11,11,Dwarka Prasad Pahade,103,"5,498",0.7%,Independent, AC View
12,12,Dilip Ramrao Thakre,103,"5,265",0.7%,Independent, AC View
13,13,Amart Lal Raghuwar,103,"5,138",0.7%,Savarn Samaj Party, AC View
14,14,Jagadesh Kaoyalare,103,"3,974",0.5%,Independent, AC View
15,15,Mukesh Wadiwa,103,"3,177",0.4%,Independent, AC View
16,16,Goru Prasad Dhurve,103,"2,864",0.4%,Independent, AC View
17,17,Gangaram,103,"2,376",0.3%,Independent, AC View
18,18,Laxmi Wasnik,103,"2,356",0.3%,Republican Party Of India (A), AC View
19,19,Laxmiprasad Banskar,103,"2,253",0.3%,Independent, AC View
20,20,Shaligram Sidam,103,"2,232",0.3%,Independent, AC View
21,21,Biresh Marascola,103,"1,600",0.2%,Independent, AC View
22,22,Krishna Kanoje,103,"1,557",0.2%,Independent, AC View
23,23,Bharat Lal Dehariya,103,"1,552",0.2%,Independent, AC View
24,24,Aadil Khan,103,"1,498",0.2%,Independent, AC View
25,25,Ram Kumar Pandram,103,"1,483",0.2%,Independent, AC View
26,26,Ramkishan Pal,103,"1,387",0.2%,Independent, AC View
27,27,"Rajendra Zhod "" Bablu """,103,"1,335",0.2%,Independent, AC View
