x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Chhaviram Argal,400,"261,337",53.7%,Bharatiya Janta Party, AC View
2,2,Barelal Jatav,400,"114,017",23.4%,Indian National Congress, AC View
3,3,Dr. Pritam Prasad Chaudhary,400,"86,137",17.7%,Bahujan Samaj Party, AC View
4,4,Dr. K. L. Ray ( KISHANLAL),200,"9,723",2.0%,Samata Samaj Party, AC View
5,5,Shankar Lal Mourya,200,"5,606",1.2%,Samajwadi Party, AC View
6,6,Ram Dayal Kori,200,"3,880",0.8%,Independent, AC View
7,7,Rajesh Jatav,200,"1,723",0.4%,Independent, AC View
8,8,Dr. Ramesh Chandra Argal,200,"1,644",0.3%,Independent, AC View
9,9,Hakim Nagar,200,"1,329",0.3%,Lok Jan Shakti Party, AC View
10,10,"Shankar Singh "" Sakhawar""",200,"1,143",0.2%,Janata Dal (Secular), AC View
11,11,Ajay Kumar,200,904,0.2%,Independent, AC View
