x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mahendra Prasad Nishad,2600,"163,568",32.3%,Bahujan Samaj Party, AC View
2,2,Achal Singh,2600,"111,000",21.9%,Samajwadi Party, AC View
3,3,Ashok  Patel,1800,"101,484",20.0%,Bharatiya Janta Party, AC View
4,4,Khan Gufran Jahidi,1400,"92,741",18.3%,Indian National Congress, AC View
5,5,Satyendra Singh Patel,200,"10,861",2.1%,Apna Dal, AC View
6,6,Devki Nandan Alias Lalu Maurya,200,"10,253",2.0%,Independent, AC View
7,7,Birendra Singh,200,"4,925",1.0%,Bahujan Kisan Dal, AC View
8,8,Aniruddha Singh,200,"3,978",0.8%,Indian Justice Party, AC View
9,9,Jaglal,200,"3,949",0.8%,Independent, AC View
10,10,Ghanshyam Pal,200,"3,940",0.8%,Labour Party (Secular), AC View
