x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Ponnuswamy, E.",2360,"343,424",46.3%,Pattali Makkal Katchi, AC View
2,2,Thirumaavalavan Thol,2360,"255,773",34.5%,Janata Dal (United), AC View
3,3,Periasamy. D,278,"113,974",15.4%,Bharatiya Janta Party, AC View
4,4,Ramalingam. D,85,"6,051",0.8%,Independent, AC View
5,5,Jawaharlal Nehru. P,85,"5,526",0.7%,Jharkhand Party, AC View
6,6,Kumar. K,85,"5,092",0.7%,Bahujan Samaj Party, AC View
7,7,Ponnusamy. V E,85,"3,159",0.4%,Independent, AC View
8,8,Periyasamy. S A,85,"2,828",0.4%,Independent, AC View
9,9,Ramamoorthy.,85,"2,003",0.3%,Independent, AC View
10,10,Kanagasabai. R,85,"1,758",0.2%,Independent, AC View
11,11,Archunan. T,85,"1,486",0.2%,Independent, AC View
12,12,Purushothman. K,85,"1,274",0.2%,Independent, AC View
13,13,Thiravidamani. S,85,"1,062",0.1%,Independent, AC View
