x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ahir Hansraj Gangaram,6600,"366,014",43.6%,Bharatiya Janta Party, AC View
2,2,Naresh Puglia,6600,"306,191",36.4%,Indian National Congress, AC View
3,3,Rajendra Vaidya,400,"104,416",12.4%,Bahujan Samaj Party, AC View
4,4,Diwakar Gulab Pendam,200,"26,837",3.2%,Independent, AC View
5,5,Dr. Vasant Rushi Maheshkar (MASRAM),200,"9,277",1.1%,Bharipa Bahujan Mahasangh, AC View
6,6,Tayara Chhotu Sheikh (PASHA),200,"8,805",1.0%,Independent, AC View
7,7,Gurudas Kamble Guruji,200,"5,114",0.6%,Independent, AC View
8,8,Deotale Chandrashekhar Digambar,200,"4,658",0.6%,Ambedkarist Republican Party, AC View
9,9,Khartad Lomesh Maroti,200,"3,528",0.4%,Independent, AC View
10,10,Dr. Arun Gopalrao Deshpande,200,"3,454",0.4%,Independent, AC View
11,11,Nagdeote Seochandra Shalikram,200,"2,850",0.3%,Prabuddha Republican Party, AC View
