x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Suraj Singh,1980,"233,869",37.0%,Lok Jan Shakti Party, AC View
2,2,Shatrughna Prasad Singh,1980,"157,642",24.9%,Communist Party Of India, AC View
3,3,Ramjivan Singh,787,"118,706",18.8%,Janata Dal (United), AC View
4,4,Rajvanshi Mahto,236,"46,925",7.4%,Samajwadi Party, AC View
5,5,Ganesh Yadav,152,"17,730",2.8%,Bahujan Samaj Party, AC View
6,6,Shahid Akhtar,152,"17,612",2.8%,Independent, AC View
7,7,Chhatrapati Yadav,133,"10,801",1.7%,Independent, AC View
8,8,Aunkusha Baha,133,"10,627",1.7%,Independent, AC View
9,9,Upendar Das,125,"9,104",1.4%,Apna Dal, AC View
10,10,Kuldip Narayan Singh Patel,111,"5,038",0.8%,Samata Party, AC View
11,11,Mahboob Alam,111,"4,289",0.7%,Kosi Vikas Party, AC View
