x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mehbooba Mufti,600,"74,436",50.8%,Jammu & Kashmir Peoples Democratic Party, AC View
2,2,Dr. Mehboob Beg,600,"35,498",24.2%,Jammu & Kashmir National Conference, AC View
3,3,Mohamad Yusuf Tarigami,200,"18,466",12.6%,Communist Party Of India (MARXIST), AC View
4,4,Sofi Mohd. Yousuf,200,"4,836",3.3%,Bharatiya Janta Party, AC View
5,5,Imtiyaz Ahmad Rather,200,"2,827",1.9%,Independent, AC View
6,6,Ab. Majeed Naikoo,200,"2,760",1.9%,Independent, AC View
7,7,Mohd. Maqbool Dar,200,"2,691",1.8%,Independent, AC View
8,8,Sanjay Saraf,200,"1,595",1.1%,Lok Jan Shakti Party, AC View
9,9,Gh. Rasool,200,"1,586",1.1%,Independent, AC View
10,10,Hamidullah Wani,200,"1,504",1.0%,All India Forward Bloc, AC View
11,11,Gh. Mohi-Ud-Din Dar,200,"1,278",0.9%,Independent, AC View
12,12,Mohd. Yousuf Qurashi,200,"1,115",0.8%,Rashtriya Lok Dal, AC View
13,13,Gh. Mohd. Tantary,200,864,0.6%,Samata Party, AC View
14,14,Ramesh Kumar Bhat,200,763,0.5%,Independent, AC View
