x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Brajesh Pathak,28800,"178,366",32.6%,Bahujan Samaj Party, AC View
2,2,Deepak Kumar,28800,"160,605",29.3%,Samajwadi Party, AC View
3,3,Devi Bux Singh,1200,"94,711",17.3%,Bharatiya Janta Party, AC View
4,4,Shiv Pal Singh,1000,"83,473",15.2%,Indian National Congress, AC View
5,5,Sandhya Kushwaha,200,"7,072",1.3%,Apna Dal, AC View
6,6,Harishchandra Misra,200,"5,458",1.0%,Independent, AC View
7,7,Ram Autar,200,"3,781",0.7%,Independent, AC View
8,8,Amar Pal,200,"2,543",0.5%,Indian Justice Party, AC View
9,9,Shivshankar Lal,200,"2,364",0.4%,Independent, AC View
10,10,Dr. Kailash Shanker Trivedi,200,"2,077",0.4%,Independent, AC View
11,11,Umesh Kumar,200,"1,606",0.3%,Independent, AC View
12,12,Ved Pratap Singh,200,"1,480",0.3%,Akhil Bharatiya Jan Sangh, AC View
13,13,Rajesh Tripathi,200,"1,175",0.2%,Bahujan Kisan Dal, AC View
14,14,Atul Kumar,200,"1,044",0.2%,Independent, AC View
15,15,K N Singh,200,"1,011",0.2%,Rashtriya Janata Dal, AC View
16,16,Ashok Kumar,200,800,0.1%,Independent, AC View
