x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Harish Nagpal,74400,"287,522",32.5%,Independent, AC View
2,2,Mahmood Madni,74400,"269,638",30.5%,Rashtriya Lok Dal, AC View
3,3,Aley Hasan,1600,"168,698",19.1%,Bahujan Samaj Party, AC View
4,4,Chetan Chauhan,800,"130,519",14.7%,Bharatiya Janta Party, AC View
5,5,Vikram Singh,200,"7,949",0.9%,Indian National Congress, AC View
6,6,Sanjay,200,"6,040",0.7%,Independent, AC View
7,7,Sarfaraj Ahmad,200,"4,074",0.5%,Independent, AC View
8,8,Ranveer,200,"2,358",0.3%,Independent, AC View
9,9,Ramesh Singh,200,"1,579",0.2%,Independent, AC View
10,10,Shaveer,200,"1,246",0.1%,Independent, AC View
11,11,Nasim Khan,200,"1,203",0.1%,Rashtriya Janata Dal, AC View
12,12,Matlub,200,"1,108",0.1%,Rashtriya Swabhimaan Party, AC View
13,13,Narendra Sani,200,962,0.1%,Shiv Sena, AC View
14,14,Jabar Singh,200,942,0.1%,Indian Justice Party, AC View
15,15,Yad Ram,200,676,0.1%,Labour Party (Secular), AC View
16,16,Naresh,200,645,0.1%,Independent, AC View
