x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Nikhil Kumar,258600,"290,009",37.8%,Indian National Congress, AC View
2,2,Sushil Kumar Singh,258600,"282,549",36.8%,Janata Dal (United), AC View
3,3,Raja Ram Singh,600,"106,888",13.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Jitendra Yadav,400,"56,418",7.4%,Bahujan Samaj Party, AC View
5,5,Rajiv Ranjan Singh,200,"6,056",0.8%,Samajwadi Party, AC View
6,6,Sarjoon Paswan,200,"5,152",0.7%,Independent, AC View
7,7,Aashutosh Kumar Singh,200,"4,297",0.6%,Independent, AC View
8,8,Ann Kumar,200,"4,009",0.5%,Apna Dal, AC View
9,9,Raj Balabh Singh,200,"3,391",0.4%,Shoshit Samaj Dal, AC View
10,10,Rameshwar Singh,200,"2,482",0.3%,Independent, AC View
11,11,Kamta Paswan,200,"2,168",0.3%,Independent, AC View
12,12,Uchit Narain Singh,200,"2,150",0.3%,Independent, AC View
13,13,Indradeo Ram,200,"1,669",0.2%,Independent, AC View
