x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Maneka Gandhi,1230,"255,615",37.8%,Bharatiya Janta Party, AC View
2,2,Satyapal Gangwar,1230,"152,895",22.6%,Samajwadi Party, AC View
3,3,Anis Ahmad Khan Alias Phool Babu,668,"121,269",17.9%,Bahujan Samaj Party, AC View
4,4,V.M Singh,520,"106,186",15.7%,Indian National Congress, AC View
5,5,Krishna Adhikari,133,"11,804",1.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Motiram Rajput,133,"11,027",1.6%,Independent, AC View
7,7,Mahendra Singh,109,"4,967",0.7%,Independent, AC View
8,8,Satyendra,109,"3,194",0.5%,Apna Dal, AC View
9,9,Babu Ram,109,"2,272",0.3%,Independent, AC View
10,10,Paramjeet Sharma,109,"2,203",0.3%,Independent, AC View
11,11,Kulbinder Singh,109,"2,030",0.3%,Independent, AC View
12,12,Puranlal,109,"1,363",0.2%,Rashtriya Swabhimaan Party, AC View
13,13,Mahavir Singh,109,"1,251",0.2%,Akhil Bhartiya Rajarya Sabha, AC View
14,14,Manohar Lal,109,"1,031",0.2%,Ekta Krandi Dal U.P., AC View
