x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Md. Salim,2000,"284,427",50.1%,Communist Party Of India (MARXIST), AC View
2,2,"Ajit Kumar Panja (250, Chittaranjan Avenue, Kolkata-700 006)",2000,"210,647",37.1%,All India Trinamool Congress, AC View
3,3,Indira Mukherjee ( Moushumi Chatterjee),200,"56,449",9.9%,Indian National Congress, AC View
4,4,"Ajit Kumar Panja ( Mamudpur, P.s- Chandrakona, Ghatal, West Medinipur)",200,"4,792",0.8%,Independent, AC View
5,5,Pintu Kundu,200,"4,180",0.7%,Independent, AC View
6,6,Debojyoti Basu,200,"2,626",0.5%,Independent, AC View
7,7,Chandra Prakash Dubey,200,"2,226",0.4%,Bahujan Samaj Party, AC View
8,8,Mahua Roy,200,"1,311",0.2%,Independent, AC View
9,9,Angshuman Paul,200,"1,309",0.2%,Independent, AC View
10,10,Imtiaz Ahmed,200,918,0.2%,Independent, AC View
