x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Velu, R.",2000,"386,911",50.0%,Pattali Makkal Katchi, AC View
2,2,Shanmugam. N,2000,"284,715",36.8%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Sethumadhavan . S,200,"34,876",4.5%,Janata Dal (United), AC View
4,4,Kulandaivelu. M,200,"22,284",2.9%,Jharkhand Party, AC View
5,5,Venkatesan. V,200,"9,646",1.2%,Independent, AC View
6,6,Arunkumar. S,200,"5,507",0.7%,Republican Party Of India (A), AC View
7,7,Velu. M,200,"5,022",0.6%,Independent, AC View
8,8,Ravi. N,200,"4,371",0.6%,Independent, AC View
9,9,Sampath. G,200,"4,333",0.6%,Independent, AC View
10,10,Velu. K,200,"4,061",0.5%,Independent, AC View
11,11,Velu. G S,200,"2,229",0.3%,Independent, AC View
12,12,Velu. S,200,"2,169",0.3%,Independent, AC View
13,13,Sekatham Basha. M,200,"1,466",0.2%,Independent, AC View
14,14,Sekar. A,200,"1,342",0.2%,Independent, AC View
15,15,Askar. A,200,"1,273",0.2%,Independent, AC View
16,16,Mohan. R,200,"1,265",0.2%,Samajwadi Party, AC View
17,17,Shanmugam. N,200,"1,171",0.2%,Independent, AC View
18,18,Shanmugam. S,200,"1,044",0.1%,Independent, AC View
19,19,"Maniezhilan, Pulavar. A",200,"1,038",0.1%,Bharatiya Backward Party, AC View
20,20,Elangovan. M,200,716,0.1%,Independent, AC View
