x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raghuraj Singh Shakya,600,"367,807",52.3%,Samajwadi Party, AC View
2,2,Sarita Bhadauria,600,"177,650",25.2%,Bharatiya Janta Party, AC View
3,3,Sudheendra Bhadaurya,400,"130,043",18.5%,Bahujan Samaj Party, AC View
4,4,Proffesser Rajendra Prasad Alias Raju Dixit,200,"9,482",1.3%,Indian National Congress, AC View
5,5,Shiv Pratap Singh,200,"4,016",0.6%,Independent, AC View
6,6,M.S Chandel,200,"3,478",0.5%,Labour Party (Secular), AC View
7,7,Anil Kumar,200,"3,451",0.5%,Independent, AC View
8,8,Kushma Devi,200,"1,682",0.2%,Indian Justice Party, AC View
9,9,Bharat Singh,200,"1,312",0.2%,Rashtriya Samanta Dal, AC View
10,10,Ganesh Gyanarthi,200,"1,239",0.2%,Apna Dal, AC View
11,11,Mahesh Manav,200,"1,165",0.2%,Independent, AC View
12,12,Ramakant,200,"1,107",0.2%,Independent, AC View
13,13,Brajesh Singh,200,903,0.1%,Independent, AC View
14,14,Prakash Narayan,200,611,0.1%,Independent, AC View
