x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Madan Lal Sharma,73600,"319,994",39.0%,Indian National Congress, AC View
2,2,Dr. Nirmal Singh,73600,"302,426",36.9%,Bharatiya Janta Party, AC View
3,3,Surjit Singh Slathia,600,"120,397",14.7%,Jammu & Kashmir National Conference, AC View
4,4,Tirath Kumar,200,"29,498",3.6%,Bahujan Samaj Party, AC View
5,5,S.Kuldeep Singh,200,"9,195",1.1%,J & K National Panthers Party, AC View
6,6,Pankaj Kohli,200,"4,661",0.6%,Samajwadi Party, AC View
7,7,Shahzad Khan,200,"3,803",0.5%,Independent, AC View
8,8,Ramesh Chander Sharma,200,"3,315",0.4%,Independent, AC View
9,9,Sharaz Ahmad,200,"2,956",0.4%,Independent, AC View
10,10,Yudhvir Singh,200,"2,300",0.3%,Independent, AC View
11,11,Balbir Singh,200,"2,060",0.3%,Independent, AC View
12,12,Om Parkash Malhotra,200,"1,902",0.2%,Independent, AC View
13,13,Rajan Padri,200,"1,746",0.2%,All India Forward Bloc, AC View
14,14,Charanjit Singh Bali,200,"1,707",0.2%,Independent, AC View
15,15,Satish Poonchi,200,"1,656",0.2%,Independent, AC View
16,16,Subhash Chander Langer,200,"1,650",0.2%,Secular Party Of India, AC View
17,17,Sudesh Puri,200,"1,620",0.2%,Samata Party, AC View
18,18,Qari Zahir Abbas Bhatti,200,"1,616",0.2%,Janata Dal (Secular), AC View
19,19,Mushtaq Ahmed,200,"1,491",0.2%,Independent, AC View
20,20,Sanjeev Kumar Manmotra,200,"1,485",0.2%,Lok Jan Shakti Party, AC View
21,21,Subash Sharma,200,"1,298",0.2%,Independent, AC View
22,22,Ch. Mohd. Iqbal,200,"1,193",0.1%,Independent, AC View
23,23,Gurdeep Singh Bijral,200,"1,039",0.1%,Independent, AC View
24,24,Jasbir Singh,200,"1,010",0.1%,Independent, AC View
25,25,Lochan Singh,200,871,0.1%,Independent, AC View
26,26,Shukeel Kumar Gupta,200,781,0.1%,Independent, AC View
