x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,E.  V.  Alias Balasaheb Vikhe Patil,2000,"356,688",53.5%,Indian National Congress, AC View
2,2,Murkute Bhanudas Kashinath,2000,"269,357",40.4%,Shiv Sena, AC View
3,3,Nikale Vinayakrao Marutrao,200,"10,836",1.6%,Bahujan Samaj Party, AC View
4,4,Shaikh Riyaj Fajaloddin,200,"7,897",1.2%,Independent, AC View
5,5,Dr. Bhise Indrakumar Devrao,200,"6,000",0.9%,Rashtriya Samaj Paksha, AC View
6,6,Deshmukh Bhagwan Ranganath,200,"4,957",0.7%,Independent, AC View
7,7,Vikhe Balasaheb Jaggannath,200,"4,947",0.7%,Independent, AC View
8,8,Musmade Bhausaheb Jagannath,200,"2,813",0.4%,Independent, AC View
9,9,Waghmare Shankar Sadashiv,200,"2,591",0.4%,Independent, AC View
10,10,Khule Dattatraya Nivrutti,200,"1,321",0.2%,Independent, AC View
11,11,Kolse Ashok Eknath,200,"1,293",0.2%,Independent, AC View
