x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajnarayan Alias Rajju Mahraj,8352,"220,917",36.6%,Samajwadi Party, AC View
2,2,Ashok Kumar Singh Chandel,8352,"183,763",30.4%,Bahujan Samaj Party, AC View
3,3,Thakur Ram Lal,810,"111,673",18.5%,Indian National Congress, AC View
4,4,Surendra Pal Singh,247,"44,418",7.4%,Bharatiya Janta Party, AC View
5,5,Hargovind,137,"12,667",2.1%,Independent, AC View
6,6,Suresh Kumar,137,"10,458",1.7%,Independent, AC View
7,7,Lakhan,115,"4,827",0.8%,Independent, AC View
8,8,Ashok,115,"4,058",0.7%,Apna Dal, AC View
9,9,Rakesh,115,"2,777",0.5%,Independent, AC View
10,10,Lallu Prasad,115,"2,023",0.3%,Independent, AC View
11,11,Yogendra Singh,115,"1,470",0.2%,Independent, AC View
12,12,Baladin,115,"1,426",0.2%,Independent, AC View
13,13,Om Prakash,115,"1,383",0.2%,Independent, AC View
14,14,Ram Bihari,115,"1,307",0.2%,Independent, AC View
15,15,Girjacharan,115,932,0.2%,Independent, AC View
