x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dawa Narbula,2459,"396,973",44.8%,Indian National Congress, AC View
2,2,Moni Thapa,2459,"295,557",33.3%,Communist Party Of India (MARXIST), AC View
3,3,Dr. G. S. Yonzone,244,"113,972",12.9%,Bharatiya Janta Party, AC View
4,4,Sanjay Thakuri,106,"20,988",2.4%,Independent, AC View
5,5,Mohan Chhetri,97,"14,857",1.7%,Independent, AC View
6,6,Raju Bhatta,97,"11,112",1.3%,Independent, AC View
7,7,Bimal Dutta,97,"10,758",1.2%,Bahujan Samaj Party, AC View
8,8,Kishalay Kanti Sharma,88,"8,695",1.0%,Independent, AC View
9,9,Lalit Barman,88,"8,690",1.0%,Independent, AC View
10,10,Tika Pradhan,88,"6,481",0.7%,Independent, AC View
