x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Subbulakshmi Jagadeesan,762,"501,569",58.2%,Dravida Munetra Kazhagam, AC View
2,2,Palaniswami. K,762,"322,172",37.4%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Palanisamy. K,71,"14,208",1.6%,Independent, AC View
4,4,Balasubramanyam. K M,64,"6,746",0.8%,Bahujan Samaj Party, AC View
5,5,Palanisamy. R,64,"5,282",0.6%,Independent, AC View
6,6,Shanmugam. N,64,"3,145",0.4%,Jharkhand Party, AC View
7,7,Govindaraj. A,64,"2,431",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Paramasivam. S,64,"1,932",0.2%,Independent, AC View
9,9,Subbulakshmi. ( TMT) S,64,"1,343",0.2%,Independent, AC View
10,10,Dharmendran. D,64,"1,288",0.1%,Independent, AC View
11,11,Dhandapani. A,64,"1,185",0.1%,Independent, AC View
12,12,Natarajan. C,64,"1,147",0.1%,Independent, AC View
13,13,Chandra Sekaran. K,64,"1,020",0.1%,Independent, AC View
14,14,Tamil Mani. K,64,983,0.1%,Independent, AC View
