x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ram Chandra Paswan,861,"394,240",55.2%,Lok Jan Shakti Party, AC View
2,2,Dashai Chaudhary,861,"255,829",35.8%,Janata Dal (United), AC View
3,3,Lal Bahadur Sada,80,"18,829",2.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Halchal Ram,75,"16,820",2.4%,Independent, AC View
5,5,Satrudhan Kumar Paswan,67,"6,584",0.9%,Samajwadi Party, AC View
6,6,Sanatan Kumar Sathi,67,"5,128",0.7%,Bahujan Samaj Party, AC View
7,7,Gulab Paswan,67,"4,960",0.7%,Apna Dal, AC View
8,8,Nandjee Ram,67,"4,959",0.7%,Independent, AC View
9,9,Kripanath Ram,67,"3,406",0.5%,Independent, AC View
10,10,Kedar Paswan,67,"3,043",0.4%,Shiv Sena, AC View
