x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shriprakash Jaiswal,253654,"211,109",34.1%,Indian National Congress, AC View
2,2,Satya Dev Pachauri,253654,"205,471",33.2%,Bharatiya Janta Party, AC View
3,3,Haji Mushtaq Solanki,4218,"159,361",25.8%,Samajwadi Party, AC View
4,4,Anubhav,209,"27,962",4.5%,Bahujan Samaj Party, AC View
5,5,Subhashini Ali,127,"4,558",0.7%,Communist Party Of India (MARXIST), AC View
6,6,Mohd. Hanim Alis Kinner Ramkali,127,"1,975",0.3%,Independent, AC View
7,7,Chandra Prakash,127,"1,607",0.3%,Akhil Bharat Hindu Mahasabha, AC View
8,8,Saroj Rahi,127,"1,070",0.2%,Independent, AC View
9,9,Sunil Patel,127,957,0.2%,Apna Dal, AC View
10,10,Ravi Shankar Balmiki,127,945,0.2%,Independent, AC View
11,11,Jagannath Mistri,127,822,0.1%,Independent, AC View
12,12,Chandramani,127,721,0.1%,Independent, AC View
13,13,Ram Ratan,127,644,0.1%,Rashtriya Swabhimaan Party, AC View
14,14,Ajeet Mohan,127,615,0.1%,Independent, AC View
15,15,Manohar Lal,127,477,0.1%,Independent, AC View
16,16,Sanjeev Pandey,127,427,0.1%,Bharti Sarvadarshi Parishad, AC View
