x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jyotiraditya Madhavrao Scindia,1988,"333,954",50.0%,Indian National Congress, AC View
2,2,Harivallabh Shukla,1988,"247,594",37.1%,Bharatiya Janta Party, AC View
3,3,Ramvilas Kirar,99,"26,380",3.9%,Bahujan Samaj Party, AC View
4,4,Usha Yadav,99,"21,291",3.2%,Samajwadi Party, AC View
5,5,Laxmansingh Dhakad Sujwayawale,85,"12,554",1.9%,Independent, AC View
6,6,Rajeev Gupta,77,"5,937",0.9%,Independent, AC View
7,7,Harbansingh Koli,77,"5,795",0.9%,Rashtriya Lok Dal, AC View
8,8,Jado Adiwasi,77,"5,168",0.8%,Independent, AC View
9,9,Mahesh Kumar ( M. K.) BUDDA,77,"4,239",0.6%,Independent, AC View
10,10,Charandas Jatav,77,"3,083",0.5%,Independent, AC View
11,11,Omprakash ( O P BHAIYA),77,"2,398",0.4%,Independent, AC View
