x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Pawan Kumar Bansal,1200,"139,880",51.8%,Indian National Congress, AC View
2,2,Satya Pal Jain,1200,"94,632",35.1%,Bharatiya Janta Party, AC View
3,3,Harmohan Dhawan,200,"17,762",6.6%,Indian National Lok Dal, AC View
4,4,Hem Raj,200,"6,203",2.3%,Bahujan Samaj Party, AC View
5,5,Surinder Pal,200,"3,187",1.2%,Independent, AC View
6,6,Rajinder Bansal,200,"2,045",0.8%,Independent, AC View
7,7,Dharam Paul Sharma,200,"1,232",0.5%,Independent, AC View
8,8,Arvind Jain,200,718,0.3%,Independent, AC View
9,9,Vinay Kumar,200,515,0.2%,Bharatiya Surajya Manch, AC View
10,10,Mukesh Kumar,200,488,0.2%,Independent, AC View
11,11,Rekha Sharma,200,481,0.2%,Independent, AC View
12,12,Ghanshyam Lal,200,376,0.1%,Independent, AC View
13,13,Gurcharan Singh,200,312,0.1%,Independent, AC View
14,14,Pushpa Kumar Singh,200,269,0.1%,Indian Justice Party, AC View
15,15,Mohammad Ibrahim,200,213,0.1%,Apna Dal, AC View
16,16,Bhupinder Pal,200,188,0.1%,Independent, AC View
17,17,Daulat Kuldeep Singh,200,169,0.1%,Independent, AC View
