x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Krishnaswamy. A,414,"517,617",61.5%,Dravida Munetra Kazhagam, AC View
2,2,Venugopal. Dr. P,414,"282,271",33.5%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Vijayaragunathan. M,59,"11,995",1.4%,Independent, AC View
4,4,Balakrishnan. K,59,"11,517",1.4%,Independent, AC View
5,5,Sambath. S,59,"5,815",0.7%,Jharkhand Party, AC View
6,6,Ravi. M,59,"4,194",0.5%,Independent, AC View
7,7,Jayakumar. J K B E,59,"3,805",0.5%,Bahujan Samaj Party, AC View
8,8,Purushothaman. B,59,"1,129",0.1%,Independent, AC View
9,9,Selvaraj. K,59,759,0.1%,Independent, AC View
10,10,Eagambaram. S,59,721,0.1%,Independent, AC View
11,11,Sivakumar. S,59,685,0.1%,Independent, AC View
12,12,Palani. E,59,672,0.1%,Independent, AC View
13,13,Dilli. C,59,649,0.1%,Independent, AC View
14,14,Suresh. M,59,639,0.1%,Independent, AC View
15,15,Sivakumar. M G,59,633,0.1%,Independent, AC View
