x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Krishna Tirath,1600,"138,596",55.6%,Indian National Congress, AC View
2,2,Anita Arya,1600,"100,967",40.5%,Bharatiya Janta Party, AC View
3,3,Satya Pal Singh,200,"6,634",2.7%,Bahujan Samaj Party, AC View
4,4,Saroj,200,987,0.4%,Independent, AC View
5,5,Yudhveer Singh,200,386,0.2%,Samajwadi Janata Party (RASHTRIYA), AC View
6,6,Satish Kumar,200,349,0.1%,Independent, AC View
7,7,Lajpat Rai,200,299,0.1%,Independent, AC View
8,8,Ghan Shyam Morwal,200,260,0.1%,Desh Bhakt Party, AC View
9,9,Kishan Pyari,200,171,0.1%,Independent, AC View
10,10,Dr. P.L. Premi,200,137,0.1%,Independent, AC View
11,11,Babu Lal,200,122,0.0%,Independent, AC View
12,11,Ram Bahau Rawat,200,122,0.0%,Rashtriya Swabhimaan Party, AC View
13,13,Prashottam Dass Gugrodiya,200,81,0.0%,Independent, AC View
14,14,Paluskar Krhishanarao,200,74,0.0%,Independent, AC View
