x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Appadurai, M.",1087,"348,000",49.0%,Communist Party Of India, AC View
2,2,Murugesan. S,1087,"225,824",31.8%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,"Krishnasamy. Dr., K",222,"101,122",14.2%,Janata Dal (United), AC View
4,4,Vadivel Kumar. M,88,"14,441",2.0%,Independent, AC View
5,5,Lakshmanan. R,80,"5,599",0.8%,Independent, AC View
6,6,Luke Jayakumar. P,78,"4,759",0.7%,Bahujan Samaj Party, AC View
7,7,Chandran. S,78,"2,449",0.3%,Jharkhand Party, AC View
8,8,Ramakrishnan. S,78,"2,285",0.3%,Independent, AC View
9,9,Balasundaram. S,78,"2,153",0.3%,Independent, AC View
10,10,Chellammal. A,78,"1,663",0.2%,Independent, AC View
11,11,Saravanan. T,78,"1,436",0.2%,Independent, AC View
12,12,Gopalakrishnan. E,78,"1,378",0.2%,Independent, AC View
13,13,Amirtha Raj. T,78,"1,041",0.1%,Independent, AC View
