x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mahboob Zahedi,1600,"494,716",51.3%,Communist Party Of India (MARXIST), AC View
2,2,Ahmed Sultan,1600,"351,367",36.5%,All India Trinamool Congress, AC View
3,3,Saifuddin Choudhury,200,"60,693",6.3%,Party For Democratic Socialism, AC View
4,4,Hossain Amjad,200,"14,685",1.5%,Independent, AC View
5,5,Susil Sarkar,200,"10,323",1.1%,Bahujan Samaj Party, AC View
6,6,Shyamsundar Das,200,"8,857",0.9%,Independent, AC View
7,7,Salil Dutta,200,"6,290",0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Swapan Bhattacharya,200,"5,442",0.6%,Shiv Sena, AC View
9,9,Rina Mondal,200,"3,907",0.4%,Independent, AC View
10,10,Kailash Sharma,200,"3,541",0.4%,Samajwadi Party, AC View
11,11,Mohammad Zakaria,200,"3,362",0.3%,Independent, AC View
12,12,Bablu Chandra Das,200,"3,080",0.3%,Independent, AC View
