x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Kumar Rawat,26000,"207,062",37.5%,Bahujan Samaj Party, AC View
2,2,Sushila Saroj,26000,"187,659",34.0%,Samajwadi Party, AC View
3,3,Paragi Lal Chau,600,"75,714",13.7%,Bharatiya Janta Party, AC View
4,4,Ram Lal Rahi,400,"50,240",9.1%,Indian National Congress, AC View
5,5,Sushila Devi,200,"9,806",1.8%,Independent, AC View
6,6,Veerendra Kumar,200,"4,101",0.7%,Apna Dal, AC View
7,7,Sunila,200,"4,051",0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Nand Ram,200,"4,040",0.7%,Manuvadi Party, AC View
9,9,Ram Asrey,200,"2,602",0.5%,Independent, AC View
10,10,Uday Raj,200,"2,100",0.4%,Independent, AC View
11,11,Moti Lal,200,"1,801",0.3%,Independent, AC View
12,12,Raj Kumar,200,"1,673",0.3%,Independent, AC View
