x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Elangovan, E. V. K. S.",316,"426,826",63.0%,Indian National Congress, AC View
2,2,"Govindarajar, N. R.",316,"212,349",31.3%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,"Shaik Muhaideen, S.",63,"15,356",2.3%,Independent, AC View
4,4,"Muthusamy, K. K.",56,"6,039",0.9%,Bahujan Samaj Party, AC View
5,5,"Arul Jothe, B. K.",56,"5,225",0.8%,Jharkhand Party, AC View
6,6,"Sheik Davood, A. M.",56,"4,490",0.7%,Independent, AC View
7,7,"Perumal, P.",56,"1,998",0.3%,Independent, AC View
8,8,"Muthan, S.",56,"1,896",0.3%,Independent, AC View
9,9,"Malathi Shanmugam, ( THIRUMATHI)",56,"1,795",0.3%,Tamil Desiyak Katchi, AC View
10,10,"Selvan, S.",56,"1,503",0.2%,Independent, AC View
11,11,"Karuppusamy, S. R.",56,"1,315",0.2%,Independent, AC View
12,12,"Kannaian, N.",56,"1,311",0.2%,Independent, AC View
