x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Akhilesh Yadav,180,"464,367",61.2%,Samajwadi Party, AC View
2,2,Th. Rajesh Singh,180,"156,994",20.7%,Bahujan Samaj Party, AC View
3,3,Ramanand Yadav,131,"112,349",14.8%,Bharatiya Janta Party, AC View
4,4,Vinay Kumar Shukla,58,"10,501",1.4%,Indian National Congress, AC View
5,5,Satya Prakash Raja,58,"5,057",0.7%,Independent, AC View
6,6,Arvind,58,"3,945",0.5%,Apna Dal, AC View
7,7,Ram Shankar,58,"2,006",0.3%,Independent, AC View
8,8,Mahendra,58,"1,471",0.2%,Independent, AC View
9,9,Kaleshwar,58,"1,005",0.1%,Independent, AC View
10,10,Pankaj Kumar Shakya,58,932,0.1%,Rashtriya Samanta Dal, AC View
