x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ganesh Singh,1600,"239,706",39.3%,Bharatiya Janta Party, AC View
2,2,Rajendra Kumar Singh (DADA BHAI),1600,"156,116",25.6%,Indian National Congress, AC View
3,3,Ku. Narendra Singh,400,"78,687",12.9%,Bahujan Samaj Party, AC View
4,4,Narayan Tripathi,400,"50,841",8.3%,Samajwadi Party, AC View
5,5,Jug Lal Kol,400,"47,084",7.7%,Rashtriya Samanta Dal, AC View
6,6,Sunil,200,"17,957",2.9%,Independent, AC View
7,7,Vansh Gopal,200,"4,986",0.8%,Independent, AC View
8,8,Ramroop Patel,200,"3,226",0.5%,Independent, AC View
9,9,Ramesh Prasad,200,"3,118",0.5%,Independent, AC View
10,10,Bed Prakash Pandey,200,"2,620",0.4%,Independent, AC View
11,11,Ravendra Pratap,200,"2,619",0.4%,Apna Dal, AC View
12,12,Mohd. Khalil,200,"2,170",0.4%,Independent, AC View
13,13,Ashok Kumar Pandey,200,"1,472",0.2%,Independent, AC View
