x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Girdhari Lal Bhargava,2290,"480,730",54.6%,Bharatiya Janta Party, AC View
2,2,Pratap Singh Khachariawas,2290,"373,544",42.4%,Indian National Congress, AC View
3,3,Vijay Rathi,68,"8,885",1.0%,Independent, AC View
4,4,O. P. Barwadia,68,"7,310",0.8%,Bahujan Samaj Party, AC View
5,5,Monu Kuruvila,68,"3,414",0.4%,Independent, AC View
6,6,Bhag Chand Jain,68,"1,491",0.2%,Independent, AC View
7,7,Mahendra Pratap Singh,68,"1,371",0.2%,Rashtriya Lok Dal, AC View
8,8,Inderjeet Singh,68,"1,251",0.1%,Samajwadi Party, AC View
9,9,Avinash Rai,68,877,0.1%,Independent, AC View
10,10,Prabhu Devi Soyal,68,807,0.1%,Independent, AC View
11,11,Iftkhar,68,732,0.1%,Independent, AC View
12,12,Om Prakash Kedawat,68,663,0.1%,Samata Party, AC View
