x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kalmadi Suresh,3877,"373,774",48.6%,Indian National Congress, AC View
2,2,Pradip Trimbak Rawat,3877,"300,598",39.1%,Bharatiya Janta Party, AC View
3,3,Arun Bhatia,147,"60,237",7.8%,Independent, AC View
4,4,Gaikwad Jayawnt Dharmaji,91,"9,101",1.2%,Bahujan Samaj Party, AC View
5,5,Jadhav Ganesh Devram,83,"5,321",0.7%,Bharipa Bahujan Mahasangh, AC View
6,6,Jagdale Shankarrao Ramchandra,83,"4,679",0.6%,Independent, AC View
7,7,Thyagarajan Benedic,83,"3,350",0.4%,Independent, AC View
8,8,Prof. Anandrao Bhanudas Dadas,83,"2,418",0.3%,Rashtriya Samaj Paksha, AC View
9,9,Rawat Pramila,83,"1,616",0.2%,Independent, AC View
10,10,Sarode Arun Kondiba,83,967,0.1%,Independent, AC View
11,11,Anwar Ismail Bagwan,83,844,0.1%,Independent, AC View
12,12,Chavan Popatrao Kisanrao,83,801,0.1%,Independent, AC View
13,13,Gaikwad Vitthal Baburao,83,795,0.1%,Independent, AC View
14,14,Rajiv Deshpande,83,620,0.1%,Hindu Ekta Andolan Party, AC View
15,15,Kamble Sadanand Bhimrao,83,619,0.1%,Independent, AC View
16,16,Shinde Sachin Nana,83,592,0.1%,Independent, AC View
17,17,Prof. Tribhuvan Sampat,83,511,0.1%,Indian Justice Party, AC View
18,18,Kanchwala Nuruddin Altaf Hussein,83,500,0.1%,Independent, AC View
19,19,Adagale Bhau Ramchandra,83,485,0.1%,Independent, AC View
20,20,Nitin Dattatraya Jagtap,83,475,0.1%,Independent, AC View
21,21,Amte Vinod Ramchandra,83,461,0.1%,Independent, AC View
22,22,Shaikh Ibrahim Husain,83,254,0.0%,Independent, AC View
