x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Subbarayan, K.",1000,"504,981",57.5%,Communist Party Of India, AC View
2,2,Radhakishnan. C. P,1000,"340,476",38.8%,Bharatiya Janta Party, AC View
3,3,Vellingiri. S,200,"11,562",1.3%,Independent, AC View
4,4,Noor Muhamad. A,200,"4,484",0.5%,Bahujan Samaj Party, AC View
5,5,Moogambikai Mani,200,"4,437",0.5%,Shiv Sena, AC View
6,6,Rangasamy. O,200,"3,222",0.4%,Independent, AC View
7,7,Rangasamy. R,200,"2,855",0.3%,Independent, AC View
8,8,Rajendran,200,"2,329",0.3%,Jharkhand Party, AC View
9,9,Subburaju. K,200,"2,271",0.3%,Independent, AC View
10,10,Annadurai. A,200,"1,218",0.1%,Independent, AC View
11,11,Anbarasu. R,200,"1,031",0.1%,Independent, AC View
